Process_Name,Transaction_ID,Result_Sync,Entry_By,Entry_Date,Submission_Date,Approval_Date,Remark,Is_Success
Rent Room Claim,1125,10---Document posted successfully: BKPFF 220001678123462024 HYFCLNT320,System,02-Dec-2024 15:16,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,11---Document posted successfully: BKPFF 220001678323462024 HYFCLNT320,System,02-Dec-2024 15:16,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,12---Document posted successfully: BKPFF 220001678623462024 HYFCLNT320,System,02-Dec-2024 15:16,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,13---Document posted successfully: BKPFF 220001678823462024 HYFCLNT320,System,02-Dec-2024 15:16,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,14---Document posted successfully: BKPFF 220001679023462024 HYFCLNT320,System,02-Dec-2024 15:17,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,15---Document posted successfully: BKPFF 220001679223462024 HYFCLNT320,System,02-Dec-2024 15:17,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,16---Document posted successfully: BKPFF 220001679423462024 HYFCLNT320,System,02-Dec-2024 15:17,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,17---Document posted successfully: BKPFF 220001679623462024 HYFCLNT320,System,02-Dec-2024 15:17,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,18---Document posted successfully: BKPFF 220001679723462024 HYFCLNT320,System,02-Dec-2024 15:17,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,19---Document posted successfully: BKPFF 220001679923462024 HYFCLNT320,System,02-Dec-2024 15:17,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,1---Document posted successfully: BKPFF 220001673723462024 HYFCLNT320,System,02-Dec-2024 15:15,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,20---Document posted successfully: BKPFF 220001680023462024 HYFCLNT320,System,02-Dec-2024 15:17,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,21---Document posted successfully: BKPFF 220001680123462024 HYFCLNT320,System,02-Dec-2024 15:17,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,22---Document posted successfully: BKPFF 220001680223462024 HYFCLNT320,System,02-Dec-2024 15:18,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,23---Document posted successfully: BKPFF 220001680323462024 HYFCLNT320,System,02-Dec-2024 15:18,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,24---Document posted successfully: BKPFF 220001680423462024 HYFCLNT320,System,02-Dec-2024 15:18,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,25---Document posted successfully: BKPFF 220001680523462024 HYFCLNT320,System,02-Dec-2024 15:18,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,26---Document posted successfully: BKPFF 220001680623462024 HYFCLNT320,System,02-Dec-2024 15:18,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,27---Document posted successfully: BKPFF 220001680723462024 HYFCLNT320,System,02-Dec-2024 15:18,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,28---Document posted successfully: BKPFF 220001680823462024 HYFCLNT320,System,02-Dec-2024 15:18,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
Rent Room Claim,1125,29---Document posted successfully: BKPFF 220001680923462024 HYFCLNT320,System,02-Dec-2024 15:19,29-Nov-2024 07:07,02-Dec-2024 15:15,Upload by Workflow,True
